[Mon Apr 08 13:56:28 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 141, referer: http://new-details.dev/admin/post/create/
[Mon Apr 08 13:56:36 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 141, referer: http://new-details.dev/admin/post/create/
[Mon Apr 08 14:06:40 2013] [error] [client 192.168.1.110] PHP Fatal error:  Call to undefined method PostTitleColor::items() in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 141, referer: http://new-details.dev/admin/post/create/
[Tue Apr 09 11:53:12 2013] [error] [client 192.168.1.110] PHP Fatal error:  Cannot pass parameter 3 by reference in /home/office/http/www/new-details.dev/common/models/MediaType.php on line 97, referer: http://new-details.dev/admin/post/create/
[Tue Apr 09 12:27:31 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected ';' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 105, referer: http://new-details.dev/admin/post/create/
[Tue Apr 09 16:56:39 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 100, referer: http://new-details.dev/admin/site/login/
[Tue Apr 09 17:01:40 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 100, referer: http://new-details.dev/admin/post/create/
[Tue Apr 09 17:01:59 2013] [error] [client 192.168.1.103] PHP Parse error:  syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 100
[Tue Apr 09 17:09:30 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected T_CONSTANT_ENCAPSED_STRING, expecting ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 100, referer: http://new-details.dev/admin/post/create/
[Tue Apr 09 17:18:29 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 104, referer: http://new-details.dev/admin/post/create/
[Tue Apr 09 17:19:08 2013] [error] [client 192.168.1.103] PHP Parse error:  syntax error, unexpected ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 104
[Tue Apr 09 17:19:11 2013] [error] [client 192.168.1.103] PHP Parse error:  syntax error, unexpected ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 104
[Tue Apr 09 17:19:13 2013] [error] [client 192.168.1.103] PHP Parse error:  syntax error, unexpected ')' in /home/office/http/www/new-details.dev/backend/views/post/_form.php on line 104
[Wed Apr 10 12:04:03 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected ';' in /home/office/http/www/new-details.dev/backend/views/post/view.php on line 68, referer: http://new-details.dev/admin/post/3/
[Wed Apr 10 14:50:18 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected ';' in /home/office/http/www/new-details.dev/backend/views/post/view.php on line 72, referer: http://new-details.dev/admin/post/9/
[Wed Apr 10 14:50:46 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected ';' in /home/office/http/www/new-details.dev/backend/views/post/view.php on line 72, referer: http://new-details.dev/admin/post/9/
[Wed Apr 10 18:12:25 2013] [error] [client 192.168.1.103] File does not exist: /var/www/new-details.dev/images/uploaded/thumb/lara_.jpg516571768a857.jpg, referer: http://new-details.dev/admin/imagePost/2/
[Thu Apr 11 11:18:37 2013] [error] [client 192.168.1.110] PHP Fatal error:  Call to undefined function allMediaTypes() in /home/office/http/www/new-details.dev/common/models/Post.php on line 70, referer: http://new-details.dev/admin/post/update/20/
[Thu Apr 11 11:18:45 2013] [error] [client 192.168.1.110] PHP Fatal error:  Call to undefined function allMediaTypes() in /home/office/http/www/new-details.dev/common/models/Post.php on line 70, referer: http://new-details.dev/admin/post/update/20/
[Thu Apr 11 11:32:49 2013] [error] [client 192.168.1.110] PHP Fatal error:  Call to undefined function allMediaTypes() in /home/office/http/www/new-details.dev/common/models/Post.php on line 207, referer: http://new-details.dev/admin/post/update/20/
[Thu Apr 11 12:03:32 2013] [error] [client 192.168.1.110] PHP Fatal error:  Can't use function return value in write context in /home/office/http/www/new-details.dev/common/models/Post.php on line 204
[Thu Apr 11 12:05:55 2013] [error] [client 192.168.1.110] PHP Fatal error:  Can't use function return value in write context in /home/office/http/www/new-details.dev/common/models/Post.php on line 204
[Thu Apr 11 12:07:16 2013] [error] [client 192.168.1.110] PHP Fatal error:  Can't use function return value in write context in /home/office/http/www/new-details.dev/common/models/Post.php on line 203, referer: http://new-details.dev/admin/post/update/20/
[Thu Apr 11 12:21:50 2013] [error] [client 192.168.1.110] PHP Fatal error:  Call to undefined function emty() in /home/office/http/www/new-details.dev/common/models/Post.php on line 203, referer: http://new-details.dev/admin/post/update/20/
[Thu Apr 11 12:22:14 2013] [error] [client 192.168.1.110] PHP Fatal error:  Can't use function return value in write context in /home/office/http/www/new-details.dev/common/models/Post.php on line 203, referer: http://new-details.dev/admin/post/update/20/
[Thu Apr 11 15:31:34 2013] [error] [client 192.168.1.110] PHP Fatal error:  Can't use function return value in write context in /home/office/http/www/new-details.dev/common/models/Post.php on line 204, referer: http://new-details.dev/admin/post/create/
[Thu Apr 11 15:55:48 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW in /home/office/http/www/new-details.dev/backend/controllers/PostController.php on line 76, referer: http://new-details.dev/admin/post/create/create
[Fri Apr 12 13:04:38 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected '<' in /home/office/http/www/new-details.dev/backend/views/contest/_form.php on line 21, referer: http://new-details.dev/admin/contest/create/
[Fri Apr 12 14:30:56 2013] [error] [client 192.168.1.103] PHP Parse error:  syntax error, unexpected ';' in /home/office/http/www/new-details.dev/backend/controllers/SiteController.php on line 124, referer: http://new-details.dev/admin/site/login/
[Fri Apr 12 17:18:35 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected T_ENCAPSED_AND_WHITESPACE in /home/office/http/www/new-details.dev/common/models/Contest.php on line 133, referer: http://new-details.dev/admin/contest/1/
[Fri Apr 12 17:21:52 2013] [error] [client 192.168.1.110] PHP Parse error:  syntax error, unexpected T_DOUBLE_ARROW in /home/office/http/www/new-details.dev/common/models/Contest.php on line 132, referer: http://new-details.dev/admin/contest/1/
[Sun Apr 14 01:02:10 2013] [error] [client 192.168.1.102] PHP Fatal error:  Cannot redeclare class cController in /home/office/http/www/new-details.dev/backend/controllers/MediaTypeController.php on line 4
[Sun Apr 14 01:24:57 2013] [error] [client 192.168.1.102] PHP Fatal error:  Cannot redeclare class cController in /home/office/http/www/new-details.dev/backend/controllers/MediaTypeController.php on line 4
[Sun Apr 14 01:25:35 2013] [error] [client 192.168.1.102] PHP Fatal error:  Cannot redeclare class cController in /home/office/http/www/new-details.dev/backend/controllers/MediaTypeController.php on line 4
[Sun Apr 14 01:25:40 2013] [error] [client 192.168.1.102] PHP Fatal error:  Cannot redeclare class cController in /home/office/http/www/new-details.dev/backend/controllers/MediaTypeController.php on line 4
[Sun Apr 14 11:25:09 2013] [error] [client 192.168.1.102] PHP Fatal error:  Cannot redeclare class cController in /home/office/http/www/new-details.dev/backend/controllers/MediaTypeController.php on line 4
